crn,sunday,monday,tuesday,wednesday,thursday,friday,saturdaym,start_time,end_time,start_date,end_date,location,meeting_type
50110,null,M,null,null,null,null,null,12:40 PM,01:30 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
50151,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,AGLS 111A,Lecture,
34536,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
34536,null,null,T,null,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
18734,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,AGLS 115,Lecture,
18734,null,M,null,W,null,null,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
18735,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,AGLS 115,Lecture,
18735,null,M,null,W,null,null,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
18736,null,M,null,W,null,null,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
18736,null,M,null,W,null,null,null,12:40 PM,01:30 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
19493,null,M,null,W,null,null,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
19493,null,M,null,W,null,null,null,01:50 PM,02:40 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
50109,null,null,null,null,null,F,null,12:40 PM,03:40 PM,01/13/2025,05/06/2025,AGLS 132,Lecture,
10081,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,AGLS 111A,Lecture,
10081,null,null,T,null,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
50137,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,AGLS 113,Lecture,
50137,null,null,null,null,null,F,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,AGLS 113,Laboratory,
32857,null,M,null,W,null,F,null,01:50 PM,02:40 PM,01/13/2025,05/06/2025,AGLS 113,Seminar,
21683,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
16191,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
13995,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
30911,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
10083,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
21688,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
10085,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,HPCT 101,Lecture,
12549,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,HPCT 101,Lecture,
12550,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,HPCT 101,Lecture,
23410,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
37991,null,null,null,null,null,F,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,PLPM 106,Seminar,
47711,null,null,T,null,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,HECM 120,Lecture,
31135,null,null,null,null,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
12565,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 115,Lecture,
12565,null,null,null,W,null,null,null,04:10 PM,05:10 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
12565,null,null,null,W,null,null,null,04:10 PM,05:10 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
12566,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 115,Lecture,
12566,null,null,null,W,null,null,null,05:30 PM,06:30 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
12566,null,null,null,W,null,null,null,05:30 PM,06:30 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
12567,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 115,Lecture,
12567,null,null,null,null,R,null,null,03:55 PM,04:55 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
12567,null,null,null,null,R,null,null,03:55 PM,04:55 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
36975,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 115,Lecture,
36975,null,null,null,null,R,null,null,05:15 PM,06:15 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
36975,null,null,null,null,R,null,null,05:15 PM,06:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
56931,null,null,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
53779,null,null,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
56996,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
30932,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,HPCT 101,Lecture,
30933,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,HPCT 101,Lecture,
18018,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
51357,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
10087,null,M,null,W,null,F,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,AGLS 116,Lecture,
10088,null,M,null,W,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,AGLS 116,Lecture,
30936,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,AGLS 116,Lecture,
18019,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
18019,null,null,null,W,null,null,null,08:30 AM,09:45 AM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
18019,null,null,null,W,null,null,null,08:30 AM,09:45 AM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
18020,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
18020,null,null,null,W,null,null,null,10:05 AM,11:20 AM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
29017,null,null,null,W,null,null,null,01:00 PM,02:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Recitation,
29017,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
10089,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
10089,null,null,null,W,null,null,null,08:30 AM,09:45 AM,01/13/2025,05/06/2025,AGLS 111BC,Laboratory,
10089,null,null,null,W,null,null,null,08:30 AM,09:45 AM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
10090,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
10090,null,null,null,W,null,null,null,10:05 AM,11:20 AM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
25547,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
25547,null,null,null,W,null,null,null,01:00 PM,02:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
32396,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
32396,null,null,null,W,null,null,null,02:30 PM,03:45 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
55851,null,M,null,W,null,null,null,10:30 AM,12:30 PM,01/13/2025,05/06/2025,SCC 4.210F,Lecture,
55851,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
41935,null,M,null,W,null,null,null,02:00 PM,04:00 PM,01/13/2025,05/06/2025,SCC 4.102B,Lecture,
41935,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
55852,null,M,null,W,null,null,null,10:30 AM,12:30 PM,01/13/2025,05/06/2025,SCC 4.210F,Lecture,
55852,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
27325,null,M,null,W,null,null,null,02:00 PM,04:00 PM,01/13/2025,05/06/2025,SCC 4.102B,Lecture,
27325,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
45968,null,M,null,W,null,F,null,03:00 PM,03:50 PM,01/13/2025,05/06/2025,KLCT 115,Lecture,
45968,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
56017,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,HECM 115,Lecture,
56017,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
39087,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,ILCB 205,Lecture,
37992,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
51358,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
48919,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
10093,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
56014,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
44467,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
10095,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,AGLS 116,Lecture,
12576,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,AGLS 116,Lecture,
14654,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 117,Lecture,
14654,null,null,null,null,null,F,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,HFSB 105,Lecture,
10096,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 117,Lecture,
10096,null,null,null,null,null,F,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,HFSB 105,Lecture,
12578,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,KLCT 117,Lecture,
12578,null,null,null,null,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,HFSB 105,Lecture,
15862,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,BICH 107,Lecture,
16768,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,AGLS 110,Lecture,
49246,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
30578,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,HPCT 101,Lecture,
51359,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,HECM 222,Lecture,
34927,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,ONLINE,Lecture,
53875,null,null,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
28338,null,M,null,null,null,null,null,06:00 PM,08:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
28338,null,null,T,null,null,null,null,05:00 PM,07:00 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
28339,null,M,null,null,null,null,null,06:00 PM,08:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
28339,null,null,T,null,null,null,null,05:00 PM,07:00 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
28340,null,M,null,null,null,null,null,06:00 PM,08:15 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
28340,null,null,T,null,null,null,null,05:00 PM,07:00 PM,01/13/2025,05/06/2025,AGLS 111A,Laboratory,
12581,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
12582,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
40644,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
19525,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
10099,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,PLPM 106,Lecture,
56020,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,HECM 105,Lecture,
12583,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,ILCB 112,Lecture,
43878,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
51360,null,M,null,W,null,F,null,01:50 PM,02:40 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
10100,null,M,null,W,null,F,null,12:40 PM,01:30 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
56210,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,HECM 128,Lecture,
10101,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
30549,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
28358,null,null,null,W,null,null,null,04:10 PM,05:00 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
50947,null,null,null,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,HECM 107,Lecture,
29581,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
18565,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
23028,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
20349,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
53108,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
53776,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,PLPM 100,Lecture,
56504,null,M,null,W,null,null,null,12:40 PM,01:55 PM,01/13/2025,05/06/2025,SCC 4.102B,Lecture,
23263,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
29660,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
33066,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20159,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
19972,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
56888,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
43926,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
10103,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,AGLS 115,Lecture,
10105,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,AGLS 109,Lecture,
43879,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
51352,null,null,T,null,R,null,null,03:55 PM,05:10 PM,01/13/2025,05/06/2025,AGLS 109,Lecture,
10107,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,AGLS 110,Lecture,
30577,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,HPCT 101,Lecture,
10108,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,AGLS 111A,Lecture,
10108,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
10109,null,M,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,HFSB 102,Lecture,
56002,null,M,null,W,null,F,null,01:50 PM,02:40 PM,01/13/2025,05/06/2025,AGLS 116,Lecture,
38608,null,M,null,W,null,null,null,04:10 PM,05:25 PM,01/13/2025,05/06/2025,AGLS 109,Lecture,
27328,null,M,null,W,null,null,null,09:10 AM,10:45 AM,01/13/2025,05/06/2025,AGLS 109,Lecture,
38176,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,AGLS 110,Lecture,
15298,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,AGLS 117,Lecture,
31774,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,AGLS 109,Lecture,
16772,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
22870,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
24781,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
29812,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
16473,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
20289,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
18340,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
54701,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,PLPM 100,Lecture,
57082,null,null,null,W,null,null,null,02:00 PM,05:00 PM,01/13/2025,05/06/2025,null,Lecture,
13852,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20157,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
13948,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
25311,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
14883,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
19994,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
25312,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
25746,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
39867,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
39892,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
13969,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
53047,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
53048,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
53049,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
53050,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
16485,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
15110,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
14884,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
13987,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20142,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
13899,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
14100,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
14009,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20186,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
13903,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20426,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
23097,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
20001,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
20037,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
10113,null,M,null,null,null,null,null,03:00 PM,03:50 PM,01/13/2025,05/06/2025,PLPM 106,Lecture,
53023,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
56481,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
56152,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Lecture,
54401,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
39767,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
47542,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Practicum,
38070,null,null,T,null,null,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,AGLS 132,Lecture,
38070,null,null,null,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,AGLS 132,Laboratory,
45895,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,AGLS 111BC,Lecture,
20653,null,null,T,null,null,null,null,02:20 PM,04:30 PM,01/13/2025,05/06/2025,null,Lecture,
20653,null,null,T,null,null,null,null,04:31 PM,06:20 PM,01/13/2025,05/06/2025,null,Laboratory,
10116,null,null,null,null,R,null,null,02:20 PM,04:30 PM,01/13/2025,05/06/2025,null,Lecture,
10116,null,null,null,null,R,null,null,04:31 PM,06:20 PM,01/13/2025,05/06/2025,null,Laboratory,
10117,null,null,null,null,R,null,null,08:00 AM,12:00 PM,01/13/2025,05/06/2025,null,Lecture,
10117,null,null,null,null,null,F,null,08:00 AM,12:00 PM,01/13/2025,05/06/2025,null,Lecture,
36215,null,M,null,W,null,F,null,08:00 AM,12:00 PM,01/13/2025,05/06/2025,null,Lecture,
36215,null,M,null,W,null,F,null,01:00 PM,05:00 PM,01/13/2025,05/06/2025,null,Laboratory,
17606,null,null,T,null,null,null,null,08:00 AM,12:00 PM,01/13/2025,05/06/2025,null,Seminar,
17606,null,null,T,null,null,null,null,01:00 PM,05:00 PM,01/13/2025,05/06/2025,null,Seminar,
16146,null,null,T,null,R,null,null,08:00 AM,12:00 PM,01/13/2025,05/06/2025,null,Practicum,
41442,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,ILSB 1105,Lecture,
53570,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,SCTS 317,Lecture,
53570,null,null,null,null,R,null,null,03:00 PM,04:50 PM,01/13/2025,05/06/2025,AEPM 104,Laboratory,
10120,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,SCTS 317,Lecture,
10120,null,null,null,W,null,null,null,01:00 PM,02:50 PM,01/13/2025,05/06/2025,AEPM 104,Laboratory,
10122,null,M,null,W,null,null,null,09:10 AM,10:00 AM,01/13/2025,05/06/2025,SCTS 317,Lecture,
10122,null,null,null,null,R,null,null,01:00 PM,02:50 PM,01/13/2025,05/06/2025,AEPM 104,Laboratory,
55849,null,M,null,W,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,CHEN 104,Lecture,
10125,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,CHEM 255,Lecture,
10125,null,null,null,W,null,null,null,09:10 AM,11:00 AM,01/13/2025,05/06/2025,SCTS 214,Laboratory,
10126,null,M,null,W,null,null,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,CHEM 255,Lecture,
10126,null,null,null,W,null,null,null,11:30 AM,01:20 PM,01/13/2025,05/06/2025,SCTS 214,Laboratory,
56514,null,null,T,null,R,null,null,11:10 AM,12:00 PM,01/13/2025,05/06/2025,SCTS 208,Lecture,
56514,null,null,null,W,null,null,null,09:10 AM,11:00 AM,01/13/2025,05/06/2025,SCTS 237,Laboratory,
10127,null,null,T,null,R,null,null,11:10 AM,12:00 PM,01/13/2025,05/06/2025,SCTS 208,Lecture,
10127,null,null,null,W,null,null,null,11:30 AM,01:20 PM,01/13/2025,05/06/2025,SCTS 237,Laboratory,
10128,null,null,T,null,R,null,null,11:10 AM,12:00 PM,01/13/2025,05/06/2025,SCTS 208,Lecture,
10128,null,null,null,W,null,null,null,01:50 PM,03:40 PM,01/13/2025,05/06/2025,SCTS 237,Laboratory,
10129,null,M,null,null,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,CHEN 104,Lecture,
10129,null,M,null,null,null,null,null,01:50 PM,03:40 PM,01/13/2025,05/06/2025,SCTS 318,Laboratory,
10130,null,M,null,null,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,CHEN 104,Lecture,
10130,null,M,null,null,null,null,null,04:00 PM,05:50 PM,01/13/2025,05/06/2025,SCTS 318,Laboratory,
10131,null,M,null,null,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,CHEN 104,Lecture,
10131,null,null,null,null,null,F,null,08:00 AM,09:50 AM,01/13/2025,05/06/2025,SCTS 318,Laboratory,
49254,null,M,null,W,null,F,null,12:40 PM,01:30 PM,01/13/2025,05/06/2025,CHEN 104,Lecture,
33698,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,SCTS 317,Lecture,
49256,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,SCTS 317,Lecture,
45195,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,SCTS 317,Lecture,
47414,null,M,null,W,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,AGLS 132,Lecture,
50119,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,AGLS 115,Lecture,
50120,null,M,null,W,null,F,null,10:20 AM,11:10 AM,01/13/2025,05/06/2025,AGLS 113,Lecture,
50118,null,M,null,W,null,F,null,08:00 AM,08:50 AM,01/13/2025,05/06/2025,AGLS 113,Lecture,
36296,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
52933,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
57101,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
38080,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
19606,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
26528,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
56231,null,null,null,null,null,null,null,null,null,01/17/2025,05/26/2025,null,Lecture,
56231,null,null,null,null,null,null,null,null,null,01/17/2025,05/26/2025,null,Laboratory,
55116,null,M,null,W,null,F,null,11:30 AM,12:20 PM,01/13/2025,05/06/2025,AGLS 113,Lecture,
55116,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Laboratory,
57106,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
48757,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
53037,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
19894,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Independent Study,
56844,null,null,null,null,null,null,null,null,null,01/17/2025,05/26/2025,null,Independent Study,
19890,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
57107,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,null,Research,
53659,null,null,T,null,null,null,null,02:20 PM,05:20 PM,01/13/2025,05/06/2025,AGLS 117,Lecture,
45900,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
