ccode,cnumber,prereqs,
AGSM,315, PHYS 201 w/Min Grade C or PHYS 206 w/Min Grade C,
AGSM,325, AGSM 201 w/Min Grade D,
AGSM,337, ( MATH 140 w/Min Grade C or MATH 141 w/Min Grade C or MATH 168 w/Min Grade C and MATH 142 w/Min Grade C ) or ( MATH 151 w/Min Grade C and MATH 152 w/Min Grade C ) or AGSM 301 w/Min Grade C,
AGSM,360,null,
AGSM,440, AGSM 439 w/Min Grade C and COMM 203 w/Min Grade D,
ALEC,350,null,
ALEC,370,null,
ALEC,371,null,
ALEC,377,null,
ALEC,399,null,
ALEC,412,null,
ALEC,425,null,
ALEC,460,null,
ALEC,473, ALEC 370 w/Min Grade C,
ALEC,485,null,
ALEC,609,null,
ALEC,610,null,
ALEC,612,null,
ALEC,615,null,
ALEC,622,null,
ALEC,625,null,
ALEC,630,null,
ALEC,631,null,
ALEC,640,null,
ALEC,671,null,
ALEC,677,null,
ALEC,684,null,
ALEC,685,null,
ALEC,689,null,
ALEC,695,null,
ALEC,696,null,
ALED,202,null,
ALED,301, ALED 202 w/Min Grade C,
ALED,323,null,
ALED,340,null,
ALED,340,null,
ALED,341, ALED 340 w/Min Grade C,
ALED,344, ALED 340 w/Min Grade C,
ALED,401, ALED 340 w/Min Grade C or ALED 301 w/Min Grade C,
ALED,419, ALED 340 w/Min Grade C,
ALED,422,null,
ALED,424,null,
ALED,426, ALED 340 w/Min Grade C,
ALED,440, ALED 202 w/Min Grade C,
ALED,441,null,
ALED,494, ALED 301 w/Min Grade C,
ALED,494, ALED 301 w/Min Grade C,
ANSC,107,null,
ANSC,108, ANSC 107 w/Min Grade D (concurrency),
ANSC,111, ANSC 101 w/Min Grade C and ANSC 107 w/Min Grade C and ANSC 108 w/Min Grade C,
ANSC,113, ANSC 107 w/Min Grade C and ANSC 108 w/Min Grade C,
ANSC,201,null,
ANSC,205, ANSC 107 w/Min Grade C and ANSC 108 w/Min Grade C and ANSC 111 w/Min Grade C,
ANSC,210,null,
ANSC,211,null,
ANSC,215,null,
ANSC,221, ANSC 201 w/Min Grade D,
ANSC,303, ( ANSC 113 w/Min Grade C and CHEM 101 w/Min Grade D or CHEM 119 w/Min Grade D ) or ( CHEM 222 w/Min Grade D or CHEM 227 w/Min Grade D or CHEM 257 w/Min Grade D ),
ANSC,303, ( ANSC 113 w/Min Grade C and CHEM 101 w/Min Grade D or CHEM 119 w/Min Grade D ) or ( CHEM 222 w/Min Grade D or CHEM 227 w/Min Grade D or CHEM 257 w/Min Grade D ),
ANSC,305, ANSC 111 w/Min Grade C and ANSC 113 w/Min Grade C and GENE 301 w/Min Grade D and ( STAT 301 w/Min Grade D or STAT 302 w/Min Grade D or STAT 303 w/Min Grade D or ANSC 309 w/Min Grade D ),
ANSC,307, ANSC 113 w/Min Grade C,
ANSC,307, ANSC 113 w/Min Grade C,
ANSC,309,null,
ANSC,316,null,
ANSC,318, ANSC 111 w/Min Grade C and ANSC 113 w/Min Grade C and ANSC 303 w/Min Grade C,
ANSC,320,null,
ANSC,325,null,
ANSC,326,null,
ANSC,333, ANSC 113 w/Min Grade C or ANSC 303 w/Min Grade C,
ANSC,333, ANSC 113 w/Min Grade C or ANSC 303 w/Min Grade C,
ANSC,334, ANSC 333 w/Min Grade C (concurrency),
ANSC,334, ANSC 333 w/Min Grade C (concurrency),
ANSC,399,null,
ANSC,404, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ),
ANSC,406, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ),
ANSC,408, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ) and ( STAT 301 w/Min Grade D or STAT 302 w/Min Grade D or STAT 303 w/Min Grade D or ANSC 309 w/Min Grade D ),
ANSC,411,null,
ANSC,412, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ANSC 333 w/Min Grade C,
ANSC,414, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ),
