course_ccode,course_cnumber,prereq_ccode,prereq_cnumber,equi_id
ARTS,312,ARTS,210,1,
ARTS,312,VIST,310,1,
ARTS,312,ARTS,311,1,
ARTS,325,ARTS,111,1,
ARTS,325,ARTS,115,1,
ARTS,328,ARTS,305,1,
ARTS,345,ARTS,149,1,
ARTS,345,ARTS,150,1,
ARTS,345,ARTS,349,1,
ARTS,345,ARCH,249,1,
ARTS,345,ARCH,250,1,
ARTS,345,ARCH,350,1,
ARTS,403,ARTS,303,1,
ARTS,403,ARTS,203,1,
ARTS,403,ARTS,304,2,
ASTR,314,PHYS,207,1,
ASTR,314,PHYS,208,1,
ASTR,403,ASTR,314,1,
ASTR,420,ASTR,320,1,
ASTR,604,PHYS,615,1,
ATMO,203,ATMO,201,1,
ATMO,324,ATMO,201,1,
ATMO,324,ATMO,321,2,
ATMO,324,MATH,251,3,
ATMO,352,ATMO,251,1,
ATMO,352,MATH,152,2,
ATMO,352,MATH,172,2,
ATMO,370,ATMO,201,1,
ATMO,435,ATMO,336,1,
ATMO,435,MATH,308,2,
ATMO,441,ATMO,324,1,
ATMO,441,MATH,308,2,
ATMO,441,ATMO,446,3,
ATMO,444,ATMO,210,1,
ATMO,444,GEOS,210,1,
ATMO,455,MATH,308,1,
ATMO,455,ATMO,336,2,
ATMO,456,ATMO,435,1,
ATMO,461,ATMO,335,1,
ATMO,461,MATH,308,2,
ATMO,463,CHEM,119,1,
ATMO,463,CHEM,101,1,
ATMO,463,CHEM,107,1,
ATTR,202,ATTR,201,1,
ATTR,653,ATTR,652,1,
ATTR,653,ATTR,643,2,
ATTR,656,ATTR,655,1,
ATTR,656,ATTR,646,2,
ATTR,664,ATTR,662,1,
BAEN,301,MEEN,221,1,
BAEN,320,MEEN,221,1,
BAEN,320,CVEN,221,1,
BAEN,320,MATH,251,2,
BAEN,320,MATH,253,2,
BAEN,365,BAEN,340,1,
BAEN,365,CVEN,305,2,
BAEN,366,BAEN,320,1,
BAEN,366,BAEN,340,2,
BAEN,366,BAEN,365,3,
BAEN,366,MATH,308,4,
BAEN,370,ECEN,215,1,
BAEN,412,BAEN,340,1,
BAEN,431,BAEN,302,1,
BAEN,431,BMEN,282,1,
BAEN,431,CHEN,282,1,
BAEN,431,CHEN,382,1,
BAEN,431,CHEN,482,1,
BAEN,460,BAEN,340,1,
BAEN,465,BIOL,111,1,
BAEN,465,CHEM,222,2,
BAEN,465,CHEM,227,2,
BAEN,465,BAEN,302,2,
BAEN,465,EVEN,320,2,
BAEN,468,BAEN,340,1,
BAEN,477,BAEN,340,1,
BAEN,477,CVEN,311,1,
BAEN,477,EVEN,311,1,
BAEN,477,MEEN,344,1,
BAEN,480,BAEN,479,1,
BEFB,426,BEFB,425,1,
BEFB,470,BEFB,472,1,
BEFB,470,BEFB,474,2,
BEFB,470,BEFB,476,3,
BEFB,476,BEFB,470,1,
BESC,402,CHEM,222,1,
BESC,402,CHEM,227,1,
BESC,431,BESC,201,1,
BESC,431,STAT,201,2,
BESC,431,STAT,302,2,
BESC,431,STAT,303,2,
BESL,617,EPSY,610,1,
BICH,303,CHEM,222,1,
BICH,303,CHEM,227,1,
BICH,303,CHEM,257,1,
BICH,404,BICH,440,1,
BICH,406,BICH,441,1,
BICH,409,CHEM,228,1,
BICH,409,CHEM,258,1,
BICH,410,CHEM,228,1,
BICH,410,CHEM,258,1,
BICH,411,BICH,410,1,
BICH,412,BICH,410,1,
BICH,414,BICH,440,1,
BICH,414,BICH,410,1,
BICH,414,BICH,409,1,
BICH,420,GENE,302,1,
BICH,420,GENE,303,1,
BICH,420,BICH,410,2,
BICH,420,BICH,409,2,
BICH,420,BICH,440,2,
BICH,431,BICH,409,1,
BICH,431,BICH,410,1,
BICH,431,BICH,440,1,
BICH,431,GENE,301,2,
BICH,431,GENE,302,2,
BICH,431,GENE,303,2,
BICH,431,BIMS,320,2,
BICH,431,GENE,320,2,
BICH,432,GENE,301,1,
BICH,432,GENE,302,1,
BICH,432,GENE,303,1,
BICH,432,BIMS,320,1,
BICH,432,GENE,320,1,
BICH,432,BICH,431,2,
BICH,432,GENE,431,2,
BICH,440,CHEM,228,1,
BICH,440,CHEM,258,1,
BICH,440,BICH,404,2,
BICH,441,BICH,440,1,
BICH,464,GENE,302,1,
BICH,464,GENE,303,1,
BICH,464,BIOL,351,2,
BICH,489,BICH,409,1,
BICH,489,BICH,410,1,
BICH,489,BICH,440,1,
BIMS,320,CHEM,228,1,
BIMS,320,CHEM,258,1,
BIMS,320,PHYS,202,2,
BIMS,320,PHYS,207,2,
BIMS,421,GENE,302,1,
BIMS,421,BICH,410,2,
BIMS,421,BICH,440,2,
BIOL,112,BIOL,111,1,
BIOL,206,BIOL,101,1,
BIOL,206,BIOL,107,1,
BIOL,206,BIOL,111,1,
BIOL,206,BIOL,113,1,
BIOL,206,CHEM,119,2,
BIOL,206,CHEM,101,2,
BIOL,206,CHEM,111,3,
BIOL,213,BIOL,112,1,
BIOL,213,CHEM,120,2,
BIOL,213,CHEM,102,2,
BIOL,213,CHEM,112,3,
BIOL,214,BIOL,112,1,
BIOL,319,BIOL,111,1,
BIOL,319,BIOL,112,2,
BIOL,319,BIOL,107,2,
BIOL,320,BIOL,319,1,
BIOL,335,BIOL,214,1,
BIOL,351,BIOL,112,1,
BIOL,351,CHEM,227,2,
BIOL,351,CHEM,237,3,
BIOL,351,CHEM,231,3,
BIOL,357,BIOL,214,1,
BIOL,388,BIOL,214,1,
BIOL,388,CHEM,228,1,
BIOL,401,BIOL,213,1,
BIOL,401,CHEM,228,1,
BIOL,402,BIOL,213,1,
BIOL,402,CHEM,228,1,
BIOL,403,BIOL,213,1,
BIOL,403,CHEM,228,1,
BIOL,406,BIOL,351,1,
BIOL,406,GENE,302,2,
BIOL,407,BICH,431,1,
BIOL,407,BIOL,213,1,
BIOL,407,GENE,431,1,
BIOL,413,BIOL,213,1,
BIOL,413,GENE,302,1,
BIOL,413,BICH,410,2,
BIOL,413,BICH,440,2,
BIOL,414,BIOL,213,1,
BIOL,414,GENE,302,1,
BIOL,414,BICH,410,2,
BIOL,414,BICH,440,2,
BIOL,428,BIOL,213,1,
BIOL,428,PSYC,235,2,
BIOL,428,PBSI,235,2,
BIOL,438,BIOL,351,1,
BIOL,438,BIOL,406,2,
BIOL,443,BIOL,214,1,
BIOL,444,BIOL,213,1,
BIOL,444,BIOL,319,1,
BIOL,444,BIOL,320,1,
BIOL,444,BIOL,388,1,
BIOL,444,BIOL,413,1,
BIOL,444,NRSC,335,1,
BIOL,444,NRSC,235,1,
BIOL,444,PSYC,335,1,
BIOL,444,PSYC,235,1,
BIOL,445,BIOL,213,1,
BIOL,445,BIOL,351,1,
BIOL,450,BIOL,213,1,
BIOL,450,GENE,301,1,
BIOL,450,GENE,302,1,
BIOL,450,BICH,431,1,
BIOL,450,GENE,431,1,
BIOL,450,BIOL,351,1,
BIOL,451,BIOL,213,1,
BIOL,451,GENE,301,1,
BIOL,451,GENE,302,1,
BIOL,451,BIMS,320,1,
BIOL,451,GENE,320,1,
BIOL,454,BIOL,351,1,
BIOL,456,BIOL,351,1,
BIOL,461,BICH,410,1,
BIOL,461,BICH,440,1,
BIOL,461,BIOL,351,2,
BIOL,461,VTPB,405,2,
BIOL,489,BIOL,213,1,
BIOL,495,BIOL,452,1,
BIOL,495,BIOL,400,1,
BIOL,495,BICH,464,1,
BIOL,495,BIOL,493,1,
BIOL,495,BIOL,491,1,
BIOL,496,BIOL,491,1,
BIOL,496,NRSC,491,1,
BIOL,496,BICH,491,1,
BIOL,496,GENE,491,1,
BIOL,496,BIMS,491,1,
BIOL,496,CHEM,491,1,
BIOL,496,BICH,410,1,
BIOL,496,BIOL,351,1,
